subjectID	itemID	deviant	section	absRT	relRT	preceding_stds	ITI	ISI	preISI	condition
1	6	1	block1	0	0	10	1497	300	300	2
1	6	1	block1	2952	2952	10	1497	300	300	2
1	7	5	block1	2200	1000	11	1470	300	300	2
1	9	8	block1	2721	621	18	1674	300	300	2
1	11	1	block1	972	972	8	1217	300	300	2
1	12	5	block1	1769	569	11	1702	300	300	2
1	13	6	block1	1904	404	8	1460	300	300	2
1	14	5	block1	1735	535	6	1658	300	300	2
1	15	8	block1	1864	-236	10	1201	300	300	2
1	16	4	block1	1725	825	3	1467	300	300	2
1	18	5	block1	1653	453	16	1337	300	300	2
1	19	1	block1	792	792	3	1768	300	300	2
1	21	8	block1	2636	536	22	1218	300	300	2
1	23	1	block1	713	713	8	1525	300	300	2
1	24	2	block1	934	634	8	1764	300	300	2
1	25	6	block1	1994	494	11	1429	300	300	2
1	27	4	block1	1571	671	13	1453	300	300	2
1	29	3	block1	1133	533	14	1333	300	300	2
1	32	6	block1	2116	616	26	1340	300	300	2
1	33	5	block1	2078	878	6	1338	300	300	2
1	35	7	block1	2347	547	17	1476	300	300	2
1	37	2	block1	957	657	10	1212	300	300	2
1	39	8	block1	2648	548	21	1534	300	300	2
1	40	2	block1	1000	700	1	1586	300	300	2
1	41	3	block2	1498	898	8	1311	300	300	2
1	42	7	block2	2387	587	11	1796	300	300	2
1	43	7	block2	2327	527	7	1716	300	300	2
1	44	3	block2	1378	778	3	1272	300	300	2
1	45	7	block2	2261	461	11	1399	300	300	2
1	46	6	block2	2142	642	6	1633	300	300	2
1	47	7	block2	2310	510	8	1627	300	300	2
1	49	3	block2	1138	538	11	1453	300	300	2
1	50	7	block2	2365	565	11	1698	300	300	2
1	51	3	block2	1128	528	3	1602	300	300	2
1	52	2	block2	801	501	6	1382	300	300	2
1	53	3	block2	1179	579	8	1553	300	300	2
1	55	8	block2	2671	571	20	1708	300	300	2
1	57	4	block2	1555	655	11	1553	300	300	2
1	60	6	block2	2137	637	25	1679	300	300	2
1	64	4	block2	1512	612	29	1622	300	300	2
1	65	4	block2	1427	527	7	1605	300	300	2
1	66	2	block2	1289	989	5	1425	300	300	2
1	67	4	block2	1394	494	9	1463	300	300	2
1	68	2	block2	890	590	5	1505	300	300	2
1	71	6	block2	2093	593	27	1436	300	300	2
1	72	1	block2	668	668	2	1494	300	300	2
1	73	5	block2	1797	597	11	1217	300	300	2
1	75	1	block2	682	682	11	1622	300	300	2
1	76	8	block2	2726	626	14	1790	300	300	2
2	5	7	block1	3133	1333	8	1500	300	300	1
2	8	8	block1	2722	622	24	1500	300	300	1
2	9	2	block1	952	652	1	1500	300	300	1
2	10	4	block1	1479	579	9	1500	300	300	1
2	11	6	block1	2046	546	9	1500	300	300	1
2	12	2	block1	908	608	3	1500	300	300	1
2	14	1	block1	664	664	14	1500	300	300	1
2	15	8	block1	2534	434	14	1500	300	300	1
2	16	3	block1	1258	658	2	1500	300	300	1
2	17	2	block1	956	656	6	1500	300	300	1
2	19	5	block1	1783	583	18	1500	300	300	1
2	20	8	block1	2767	667	10	1500	300	300	1
2	22	3	block1	1095	495	10	1500	300	300	1
2	24	5	block1	1707	507	17	1500	300	300	1
2	25	4	block1	1480	580	6	1500	300	300	1
2	26	5	block1	1813	613	8	1500	300	300	1
2	28	7	block1	2451	651	17	1500	300	300	1
2	29	7	block1	2152	352	7	1500	300	300	1
2	30	4	block1	649	-251	4	1500	300	300	1
2	30	4	block1	2715	1815	4	1500	300	300	1
2	31	2	block1	1310	1010	5	1500	300	300	1
2	32	7	block1	2305	505	12	1500	300	300	1
2	33	3	block1	1241	641	3	1500	300	300	1
2	34	2	block1	948	648	6	1500	300	300	1
2	35	4	block1	1401	501	9	1500	300	300	1
2	36	6	block1	1955	455	9	1500	300	300	1
2	37	6	block1	2093	593	7	1500	300	300	1
2	41	1	block2	828	828	26	1500	300	300	1
2	44	4	block2	1577	677	26	1500	300	300	1
2	49	8	block2	2695	595	43	1500	300	300	1
2	50	1	block2	893	893	0	1500	300	300	1
2	51	8	block2	2743	643	14	1500	300	300	1
2	52	4	block2	1381	481	3	1500	300	300	1
2	55	2	block2	970	670	21	1500	300	300	1
2	56	7	block2	2443	643	12	1500	300	300	1
2	57	5	block2	NA	NA	5	1500	300	300	1
2	59	7	block2	2335	535	17	1500	300	300	1
2	59	7	block2	2403	603	17	1500	300	300	1
2	61	5	block2	1737	537	13	1500	300	300	1
2	63	5	block2	NA	NA	15	1500	300	300	1
2	64	6	block2	2159	659	8	1500	300	300	1
